label,sentence1
2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
1, Keeks is a bitch she curves everyone  lol I walked into a conversation like this. Smh
1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
1, bitch who do you love 
1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
1, cancel that bitch like Nino 
1, Murda Gang bitch its Gang Land 
2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1, fuck no that bitch dont even suck dick  &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up
1, Murda Gang bitch its Gang Land 
1, bitch get up off me 
1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
1, @rhythmixx_ :hobbies include: fighting Mariam  bitch
1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
1, So hoes that smoke are losers ?  yea ... go on IG
1, bitch get up off me 
1, cancel that bitch like Nino 
1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
1, broke bitch cant tell me nothing 
1, hoe what its hitting for 
1, is that ya bitch 
1, got ya bitch tip toeing on my hardwood floors  &#128514; http://t.co/cOU2WQ5L4q
1, if you're toes ain't done you pussy stinks 
1, Murda Gang bitch its Gang Land 
1, i'd say im back to the old me but my old bitches would get excited  &#128524;
1, &amp; you might not get ya bitch back &amp; thats that 
1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
1, running round here like some brand new pussy thats bout to get fucked 
1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
1, jus meet son now he ya mane ass bitches  #Shots
1, i met that pussy on Ocean Dr . i gave that pussy a pill  &#128524;
1, these bitches even worst they'll send them guys for you 
2, momma said no pussy cats inside my doghouse 
1, her pussy lips like Heaven doors  &#128524;
1, jus meet son now he ya mane ass bitches  #Shots
1, young Pill Chamberlain these bitches love my music 
1, im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that 
1,&amp; he's gone always be a hoe
1, lames crying over hoes thats tears of a clown 
1, quick piece of pussy call it a drive by 
1, yall niggas b cuffing hoes cause yall aint never have bitches 
1, broke bitch cant tell me nothing 
1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
1, black bottle &amp; a bad bitch 
1, i'd say im back to the old me but my old bitches would get excited  &#128524;
1, is that ya bitch 
1,@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz how does doing this stuff make him a pussy?
1,@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers. Retweet
1, these hoes like niggas that spend money not talk bout it 
2,@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF woof woof hot scally lad
1, if you aint bout that Murder Game pussy nigga shut up 
2,@AllAboutManFeet: http://t.co/3gzUpfuMev woof woof and hot soles
1, these hoes like niggas that spend money not talk bout it 
1, got ya bitch tip toeing on my hardwood floors  &#128514; http://t.co/cOU2WQ5L4q
1, it aint nothing to cut a bitch off 
1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
1,&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........
2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
2,@AllAboutManFeet: http://t.co/3gzUpfuMev woof woof and hot soles
2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1, is that ya bitch 
1, cant you see these hoes wont change 
1,&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight
1, running round here like some brand new pussy thats bout to get fucked 
1, lames crying over hoes thats tears of a clown 
1, these hoes like niggas that spend money not talk bout it 
1, &amp; you might not get ya bitch back &amp; thats that 
1, i txt my old bitch my new bitch pussy wetter 
1, pimps up pimps up hoes down  Future voice
1, bitch plz whatever 
1,@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness&lt;lmao!!
1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
1, her pussy lips like Heaven doors  &#128524;
1,@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz how does doing this stuff make him a pussy?
1,"@CaelanG15: @22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
0,@CB_Baby24: @white_thunduh alsarabsss hes a beaner smh you can tell hes a mexican
1, cancel that bitch like Nino 
1," you dodge a bullet  &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"
1, bitch who do you love 
1, cancel that bitch like Nino 
1, Murda Gang bitch its Gang Land 
2,@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R Awwwwe! This is soooo ADORABLE!
1, pimps up pimps up hoes down  Future voice
1,@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1 maybe you'll get better. Just http://t.co/TPreVwfq0S
