hate-speech	offensive-language	neither
0.0201	0.9786	0.0012
0.0075	0.9925	0.0000
0.0013	0.0122	0.9865
0.0257	0.6065	0.3678
0.0438	0.9327	0.0235
0.4455	0.4931	0.0614
0.0514	0.4088	0.5398
0.1422	0.4475	0.4104
0.0403	0.6826	0.2771
0.0054	0.9429	0.0517
0.0083	0.9915	0.0002
0.0482	0.3321	0.6198
0.0481	0.4618	0.4901
0.0366	0.9381	0.0253
0.0340	0.6208	0.3452
0.0566	0.8874	0.0560
0.0099	0.9859	0.0043
0.0544	0.7879	0.1576
0.0071	0.9624	0.0305
0.0130	0.9313	0.0557
0.0110	0.8164	0.1727
0.0289	0.9237	0.0474
0.0134	0.9185	0.0681
0.0071	0.9746	0.0183
0.0310	0.6450	0.3240
0.0347	0.4913	0.4741
0.1770	0.4530	0.3700
0.0250	0.4736	0.5015
0.0491	0.5851	0.3658
0.0746	0.6386	0.2868
0.0696	0.9155	0.0149
0.0123	0.9877	0.0001
0.0344	0.3913	0.5743
0.0024	0.9974	0.0002
0.0101	0.8108	0.1791
0.0501	0.4243	0.5256
0.0623	0.6175	0.3201
0.0621	0.9356	0.0023
0.0215	0.7951	0.1835
0.3893	0.6038	0.0069
0.0548	0.5994	0.3458
0.0166	0.6613	0.3220
0.2678	0.7149	0.0173
0.0109	0.6589	0.3302
0.1692	0.5888	0.2419
0.0102	0.8555	0.1343
0.0377	0.6037	0.3586
0.0436	0.3198	0.6366
0.0715	0.8930	0.0355
0.0038	0.9935	0.0027
0.0333	0.5286	0.4381
0.0147	0.3712	0.6141
0.0166	0.8810	0.1024
0.0030	0.9968	0.0003
0.0129	0.5667	0.4203
0.0331	0.8231	0.1438
0.0468	0.5962	0.3570
0.0498	0.6839	0.2663
0.0263	0.2345	0.7392
0.0133	0.5672	0.4195
