hate-speech	offensive-language	neither
0.5620	0.2412	0.1968
0.0179	0.1565	0.8255
0.0102	0.1389	0.8509
0.2423	0.6884	0.0693
0.0361	0.7389	0.2250
0.0302	0.4176	0.5522
0.7072	0.1740	0.1188
0.3952	0.2154	0.3894
0.0197	0.3818	0.5985
0.0022	0.0285	0.9693
0.0691	0.3015	0.6294
0.4171	0.0567	0.5263
0.0435	0.3601	0.5964
0.0796	0.6115	0.3089
0.0489	0.2899	0.6613
0.0769	0.3577	0.5654
0.1422	0.5528	0.3050
0.0150	0.5070	0.4780
0.0047	0.0836	0.9117
0.0161	0.3286	0.6553
0.0047	0.9860	0.0094
0.0577	0.8728	0.0696
0.0025	0.0093	0.9881
0.0065	0.6441	0.3495
0.0064	0.8202	0.1734
0.0042	0.0986	0.8972
0.0044	0.0410	0.9546
0.0054	0.0728	0.9218
0.0408	0.6070	0.3521
0.0137	0.6527	0.3336
0.0461	0.8596	0.0943
0.0169	0.1764	0.8066
0.0453	0.5251	0.4296
0.0499	0.2455	0.7046
0.0011	0.0144	0.9845
0.0284	0.3953	0.5763
0.0178	0.0512	0.9310
0.0314	0.4699	0.4987
0.0106	0.0470	0.9424
0.2457	0.4434	0.3109
0.0174	0.6536	0.3290
0.0190	0.5123	0.4686
0.0928	0.1716	0.7356
0.0317	0.7101	0.2582
0.5299	0.3237	0.1464
0.0428	0.6087	0.3484
0.0332	0.7769	0.1899
0.0441	0.7506	0.2054
0.0304	0.3190	0.6506
0.0155	0.1650	0.8196
0.0912	0.7081	0.2007
0.0037	0.0069	0.9894
0.0639	0.5168	0.4194
0.0597	0.1550	0.7853
0.0804	0.7435	0.1761
0.0148	0.4813	0.5039
0.0696	0.6956	0.2348
0.0220	0.1675	0.8105
0.3238	0.1235	0.5527
0.0827	0.2528	0.6645
----------------------
0.0874	0.3917	0.5208

